model,file,nbstreaks,accuracy,precision,recall
models/model_1/weights_model_1.hdf5,patch_105_6_by_5_LC08_L1TP_034047_20160520_20170324_01_T1,0,0.8802964687347412,0.9920853972434998,0.5871262550354004
models/model_1/weights_model_1.hdf5,patch_111_6_by_11_LC08_L1TP_002054_20160520_20170324_01_T1,0,0.9461466670036316,0.8004462718963623,0.9597296714782715
models/model_1/weights_model_1.hdf5,patch_111_6_by_6_LC08_L1TP_047023_20160920_20170221_01_T1,0,0.8951280117034912,0.9947172999382019,0.5975817441940308
models/model_1/weights_model_1.hdf5,patch_117_6_by_12_LC08_L1TP_026031_20161222_20170218_01_T1,0,0.5346611738204956,1.0,0.5346611738204956
models/model_1/weights_model_1.hdf5,patch_117_6_by_12_LC08_L1TP_030033_20170815_20170825_01_T1,0,0.9959038496017456,0.3422519564628601,0.9563862681388855
models/model_1/weights_model_1.hdf5,patch_119_6_by_9_LC08_L1TP_061017_20160720_20170223_01_T1,0,0.9843207597732544,0.9865055084228516,0.9973587393760681
models/model_1/weights_model_1.hdf5,patch_125_6_by_20_LC08_L1TP_044027_20160220_20170224_01_T1,0,0.8515828251838684,0.988105058670044,0.7167662382125854
models/model_1/weights_model_1.hdf5,patch_126_7_by_6_LC08_L1TP_034047_20160520_20170324_01_T1,0,0.8760986328125,0.995668351650238,0.8566622138023376
models/model_1/weights_model_1.hdf5,patch_129_7_by_9_LC08_L1TP_002053_20160520_20170324_01_T1,0,0.9862806797027588,0.9632605910301208,0.5663816332817078
models/model_1/weights_model_1.hdf5,patch_132_7_by_12_LC08_L1TP_028036_20161220_20170218_01_T1,0,0.9998847246170044,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_134_7_by_8_LC08_L1TP_029040_20160720_20170222_01_T1,0,0.9689466953277588,0.7555158734321594,0.6899604201316833
models/model_1/weights_model_1.hdf5,patch_141_7_by_15_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.8041178584098816,0.7900885939598083,0.9970511198043823
models/model_1/weights_model_1.hdf5,patch_155_9_by_3_LC08_L1TP_018247_20160520_20170223_01_T1,0,0.9424370527267456,0.9943287372589111,0.9474876523017883
models/model_1/weights_model_1.hdf5,patch_159_8_by_12_LC08_L1TP_045020_20160720_20170221_01_T1,0,0.9362318515777588,0.9666099548339844,0.9053359031677246
models/model_1/weights_model_1.hdf5,patch_169_8_by_15_LC08_L1TP_054019_20160820_20170221_01_T1,0,0.9804484248161316,0.9889398813247681,0.9906303286552429
models/model_1/weights_model_1.hdf5,patch_174_9_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.7154473066329956,0.6015923619270325,0.9956340789794922
models/model_1/weights_model_1.hdf5,patch_179_9_by_11_LC08_L1TP_021034_20170731_20170811_01_T1,0,0.9782307744026184,1.0,0.2431030422449112
models/model_1/weights_model_1.hdf5,patch_183_9_by_15_LC08_L1TP_048027_20160420_20170223_01_T1,0,0.9574856162071228,0.9989261031150818,0.9232162833213806
models/model_1/weights_model_1.hdf5,patch_195_10_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.8536173701286316,0.6366271376609802,0.9927950501441956
models/model_1/weights_model_1.hdf5,patch_201_9_by_9_LC08_L1TP_061009_20160720_20170223_01_T1,0,0.9973076581954956,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_205_10_by_16_LC08_L1TP_026031_20161222_20170218_01_T1,0,0.1831597238779068,1.0,0.1831597238779068
models/model_1/weights_model_1.hdf5,patch_209_11_by_9_LC08_L1TP_034047_20160520_20170324_01_T1,0,0.8561672568321228,0.9920865893363953,0.6745898127555847
models/model_1/weights_model_1.hdf5,patch_216_11_by_6_LC08_L1TP_045019_20160720_20170221_01_T1,0,0.9263644814491272,0.9728890061378479,0.9177359938621521
models/model_1/weights_model_1.hdf5,patch_222_11_by_12_LC08_L1TP_029040_20160720_20170222_01_T1,0,0.9134724736213684,0.8169193267822266,0.9575518369674683
models/model_1/weights_model_1.hdf5,patch_226_11_by_16_LC08_L1TP_033026_20161020_20170219_01_T1,0,0.9573635458946228,0.9962674975395203,0.3379404842853546
models/model_1/weights_model_1.hdf5,patch_237_12_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.9123603105545044,0.7585741281509399,0.980340838432312
models/model_1/weights_model_1.hdf5,patch_249_13_by_9_LC08_L1TP_002054_20160520_20170324_01_T1,0,0.9866400957107544,0.986829936504364,0.9996880888938904
models/model_1/weights_model_1.hdf5,patch_260_13_by_8_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.9837375283241272,0.1085415855050087,0.9732441306114197
models/model_1/weights_model_1.hdf5,patch_260_13_by_8_LC08_L1TP_045019_20160720_20170221_01_T1,0,0.9474419355392456,0.964795708656311,0.860098123550415
models/model_1/weights_model_1.hdf5,patch_266_13_by_14_LC08_L1TP_033036_20170804_20170812_01_T1,0,0.9105970859527588,0.8942943811416626,0.585476815700531
models/model_1/weights_model_1.hdf5,patch_277_14_by_4_LC08_L1TP_019033_20161221_20170218_01_T1,0,0.9806993007659912,0.992477536201477,0.9878655672073364
models/model_1/weights_model_1.hdf5,patch_295_15_by_15_LC08_L1TP_032031_20160420_20170223_01_T1,0,0.9987114667892456,0.99979567527771,0.9989111423492432
models/model_1/weights_model_1.hdf5,patch_302_16_by_2_LC08_L1TP_002054_20160520_20170324_01_T1,0,0.9150526523590088,0.8821340799331665,0.989750325679779
models/model_1/weights_model_1.hdf5,patch_310_15_by_16_LC08_L1TP_045026_20160720_20170221_01_T1,0,0.9587809443473816,0.9622054696083069,0.911458432674408
models/model_1/weights_model_1.hdf5,patch_313_16_by_13_LC08_L1TP_032031_20160420_20170223_01_T1,0,0.9066094160079956,0.9076631665229797,0.9248316287994385
models/model_1/weights_model_1.hdf5,patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1,0,0.9430406093597412,0.9608612656593323,0.7984504699707031
models/model_1/weights_model_1.hdf5,patch_324_16_by_9_LC08_L1TP_029040_20160720_20170222_01_T1,0,0.9348008632659912,0.8555616140365601,0.9667293429374695
models/model_1/weights_model_1.hdf5,patch_328_16_by_13_LC08_L1TP_045019_20160720_20170221_01_T1,0,0.9437798261642456,0.9718713164329529,0.9594388604164124
models/model_1/weights_model_1.hdf5,patch_335_17_by_15_LC08_L1TP_002053_20160520_20170324_01_T1,0,0.8816325068473816,0.8160291910171509,0.9664818048477173
models/model_1/weights_model_1.hdf5,patch_346_17_by_10_LC08_L1TP_029040_20160720_20170222_01_T1,0,0.9373779296875,0.8780357241630554,0.978251576423645
models/model_1/weights_model_1.hdf5,patch_346_17_by_10_LC08_L1TP_034034_20160520_20170223_01_T1,0,0.9623481035232544,0.9800441861152649,0.9274718165397644
models/model_1/weights_model_1.hdf5,patch_356_18_by_16_LC08_L1TP_034047_20160520_20170324_01_T1,0,0.8823920488357544,0.9696153998374939,0.8905364871025085
models/model_1/weights_model_1.hdf5,patch_434_20_by_16_LC08_L1TP_066017_20160520_20170223_01_T1,0,0.8593207597732544,1.0,0.8592854142189026
models/model_1/weights_model_1.hdf5,patch_75_4_by_12_LC08_L1TP_048027_20160420_20170223_01_T1,0,0.9008517861366272,0.9979604482650757,0.8992823958396912
models/model_1/weights_model_1.hdf5,patch_76_4_by_13_LC08_L1TP_032029_20160420_20170223_01_T1,0,0.9678005576133728,0.9677616357803345,0.9999719262123108
models/model_1/weights_model_1.hdf5,patch_77_4_by_14_LC08_L1TP_033022_20161020_20170219_01_T1,0,0.9994913935661316,0.9999592900276184,0.9995320439338684
models/model_1/weights_model_1.hdf5,patch_78_4_by_12_LC08_L1TP_064018_20160420_20170223_01_T1,0,0.999755859375,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_91_5_by_11_LC08_L1TP_002053_20160520_20170324_01_T1,0,0.9932522177696228,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_94_5_by_10_LC08_L1TP_021034_20170731_20170811_01_T1,0,0.9745076298713684,0.940097987651825,0.6376500725746155
models/model_1/weights_model_1.hdf5,patch_99_5_by_15_LC08_L1TP_021034_20170731_20170811_01_T1,0,0.9792887568473816,0.9516375660896301,0.6942831873893738
models/model_1/weights_model_1.hdf5,patch_105_6_by_5_LC08_L1TP_034047_20160520_20170324_01_T1,1,0.8781670331954956,0.9921441674232483,0.5796034932136536
models/model_1/weights_model_1.hdf5,patch_111_6_by_11_LC08_L1TP_002054_20160520_20170324_01_T1,1,0.9455973505973816,0.8005543351173401,0.9557167291641235
models/model_1/weights_model_1.hdf5,patch_111_6_by_6_LC08_L1TP_047023_20160920_20170221_01_T1,1,0.8951280117034912,0.9947172999382019,0.5975817441940308
models/model_1/weights_model_1.hdf5,patch_117_6_by_12_LC08_L1TP_026031_20161222_20170218_01_T1,1,0.5330336093902588,1.0,0.5330336093902588
models/model_1/weights_model_1.hdf5,patch_117_6_by_12_LC08_L1TP_030033_20170815_20170825_01_T1,1,0.9959038496017456,0.3422519564628601,0.9563862681388855
models/model_1/weights_model_1.hdf5,patch_119_6_by_9_LC08_L1TP_061017_20160720_20170223_01_T1,1,0.9817911982536316,0.9864703416824341,0.994731605052948
models/model_1/weights_model_1.hdf5,patch_125_6_by_20_LC08_L1TP_044027_20160220_20170224_01_T1,1,0.8513997197151184,0.9881171584129333,0.7163928151130676
models/model_1/weights_model_1.hdf5,patch_126_7_by_6_LC08_L1TP_034047_20160520_20170324_01_T1,1,0.87286376953125,0.9956489205360413,0.8528225421905518
models/model_1/weights_model_1.hdf5,patch_129_7_by_9_LC08_L1TP_002053_20160520_20170324_01_T1,1,0.9862806797027588,0.9632605910301208,0.5663816332817078
models/model_1/weights_model_1.hdf5,patch_132_7_by_12_LC08_L1TP_028036_20161220_20170218_01_T1,1,0.9998847246170044,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_134_7_by_8_LC08_L1TP_029040_20160720_20170222_01_T1,1,0.9689466953277588,0.7555158734321594,0.6899604201316833
models/model_1/weights_model_1.hdf5,patch_141_7_by_15_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.8016628623008728,0.7896354794502258,0.9934624433517456
models/model_1/weights_model_1.hdf5,patch_155_9_by_3_LC08_L1TP_018247_20160520_20170223_01_T1,1,0.9383205771446228,0.9943110942840576,0.9433390498161316
models/model_1/weights_model_1.hdf5,patch_159_8_by_12_LC08_L1TP_045020_20160720_20170221_01_T1,1,0.9347941279411316,0.9667360186576843,0.9022688269615173
models/model_1/weights_model_1.hdf5,patch_169_8_by_15_LC08_L1TP_054019_20160820_20170221_01_T1,1,0.9775254726409912,0.9889199137687683,0.9875591397285461
models/model_1/weights_model_1.hdf5,patch_174_9_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.7146742343902588,0.6013458967208862,0.9922963976860046
models/model_1/weights_model_1.hdf5,patch_179_9_by_11_LC08_L1TP_021034_20170731_20170811_01_T1,1,0.9782307744026184,1.0,0.2431030422449112
models/model_1/weights_model_1.hdf5,patch_183_9_by_15_LC08_L1TP_048027_20160420_20170223_01_T1,1,0.9550374150276184,0.9989208579063416,0.918737530708313
models/model_1/weights_model_1.hdf5,patch_195_10_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.8536580204963684,0.636692225933075,0.9927950501441956
models/model_1/weights_model_1.hdf5,patch_201_9_by_9_LC08_L1TP_061009_20160720_20170223_01_T1,1,0.9973076581954956,0.0,0.0
models/model_1/weights_model_1.hdf5,patch_205_10_by_16_LC08_L1TP_026031_20161222_20170218_01_T1,1,0.1816135048866272,1.0,0.1816135048866272
models/model_1/weights_model_1.hdf5,patch_209_11_by_9_LC08_L1TP_034047_20160520_20170324_01_T1,1,0.8532511591911316,0.9920077919960022,0.6678832173347473
models/model_1/weights_model_1.hdf5,patch_216_11_by_6_LC08_L1TP_045019_20160720_20170221_01_T1,1,0.9242892861366272,0.9729012846946716,0.9145975708961487
models/model_1/weights_model_1.hdf5,patch_222_11_by_12_LC08_L1TP_029040_20160720_20170222_01_T1,1,0.9128621220588684,0.8167338371276855,0.9555573463439941
models/model_1/weights_model_1.hdf5,patch_226_11_by_16_LC08_L1TP_033026_20161020_20170219_01_T1,1,0.9573635458946228,0.9962674975395203,0.3379404842853546
models/model_1/weights_model_1.hdf5,patch_237_12_by_6_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.9123603105545044,0.7585741281509399,0.980340838432312
